id,wikidataId,placeType,nameType,name,searchKey
https://d-nb.info/gnd/7616787-2,http://www.wikidata.org/entity/Q193494,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Afar,
https://d-nb.info/gnd/7637388-5,http://www.wikidata.org/entity/Q187334,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,al- Anbār,
https://d-nb.info/gnd/7637388-5,http://www.wikidata.org/entity/Q187334,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,al-Anbār,
https://d-nb.info/gnd/7637388-5,http://www.wikidata.org/entity/Q187334,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Al-Anbar,
https://d-nb.info/gnd/7637388-5,http://www.wikidata.org/entity/Q187334,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,الأنبار,
https://d-nb.info/gnd/7637388-5,http://www.wikidata.org/entity/Q187334,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Anbar,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Neufundland,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Terre-Neuve,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,New Foundland,
https://d-nb.info/gnd/16001182-6,http://www.wikidata.org/entity/Q38610,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Province of Newfoundland,
